area_type,availability,location,size,total_sqft,bath,balcony,price,avg_price_per_sqft,total_sqft_num,bhk
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,1056,2.0,1.0,31.65,2997.0,1056.0,2.0
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,2600,5.0,3.0,115.65,4448.0,2600.0,4.0
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1440,2.0,3.0,60.08,4172.0,1440.0,3.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1521,3.0,1.0,105.3,6923.0,1521.0,3.0
Super built-up  Area,Ready To Move,Kothanur,2 BHK,1200,2.0,1.0,55.7,4642.0,1200.0,2.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1170,2.0,1.0,101.18,8648.0,1170.0,2.0
Super built-up  Area,18-May,Old Airport Road,4 BHK,2732,4.0,,215.23,7878.0,2732.0,4.0
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,3300,4.0,,479.36,14526.0,3300.0,4.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1310,3.0,1.0,121.4,9267.0,1310.0,3.0
Super built-up  Area,18-Feb,Whitefield,3 BHK,1800,2.0,2.0,161.01,8945.0,1800.0,3.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,2785,5.0,3.0,275.58,9895.0,2785.0,4.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000,2.0,1.0,68.22,6822.0,1000.0,2.0
Built-up  Area,Ready To Move,Gottigere,2 BHK,1100,2.0,2.0,47.62,4329.0,1100.0,2.0
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,2250,3.0,2.0,215.66,9585.0,2250.0,3.0
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,1175,2.0,2.0,58.82,5006.0,1175.0,2.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1180,3.0,2.0,46.27,3921.0,1180.0,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1540,3.0,3.0,67.7,4396.0,1540.0,3.0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,2770,4.0,2.0,325.06,11735.0,2770.0,3.0
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,1100,2.0,2.0,48.83,4439.0,1100.0,2.0
Built-up  Area,Ready To Move,Kengeri,1 BHK,600,1.0,1.0,34.87,5812.0,600.0,1.0
Super built-up  Area,19-Dec,Binny Pete,3 BHK,1755,3.0,1.0,155.0,8832.0,1755.0,3.0
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,2800,5.0,2.0,235.06,8395.0,2800.0,4.0
