area_type,availability,location,size,total_sqft,bath,balcony,price,avg_price_per_sqft
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,1056,2.0,1.0,39.07,11270
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,2600,5.0,3.0,120.0,4860
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1440,2.0,3.0,62.0,9390
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1521,3.0,1.0,95.0,9191
Super built-up  Area,Ready To Move,Kothanur,2 BHK,1200,2.0,1.0,51.0,9734
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1170,2.0,1.0,38.0,10265
Super built-up  Area,18-May,Old Airport Road,4 BHK,2732,4.0,,204.0,4466
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,3300,4.0,,600.0,8426
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1310,3.0,1.0,63.25,9578
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,1020,6.0,,370.0,12322
Super built-up  Area,18-Feb,Whitefield,3 BHK,1800,2.0,2.0,70.0,10265
Plot  Area,Ready To Move,Whitefield,4 Bedroom,2785,5.0,3.0,295.0,10265
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000,2.0,1.0,38.0,5685
Built-up  Area,Ready To Move,Gottigere,2 BHK,1100,2.0,2.0,40.0,4769
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,2250,3.0,2.0,148.0,14583
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,1175,2.0,2.0,73.5,10949
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1180,3.0,2.0,48.0,6433
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1540,3.0,3.0,60.0,9311
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,2770,4.0,2.0,290.0,9051
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,1100,2.0,2.0,48.0,10420
Built-up  Area,Ready To Move,Kengeri,1 BHK,600,1.0,1.0,15.0,5184
Super built-up  Area,19-Dec,Binny Pete,3 BHK,1755,3.0,1.0,122.0,8555
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,2800,5.0,2.0,380.0,7385
Super built-up  Area,Ready To Move,Bellandur,3 BHK,1767,3.0,1.0,103.0,10396
Super built-up  Area,18-Nov, Thanisandra,1 RK,510,1.0,0.0,25.25,12666
Super built-up  Area,18-May,Mangammanapalya,3 BHK,1250,3.0,2.0,56.0,13274
Super built-up  Area,Ready To Move,Electronic City,2 BHK,660,1.0,1.0,23.1,6558
Built-up  Area,20-Dec,Whitefield,3 BHK,1610,3.0,2.0,81.0,10265
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,1151,2.0,2.0,48.77,11849
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1025,2.0,1.0,47.0,6558
Super built-up  Area,19-Dec,Yelahanka,4 BHK,2100 - 2850,4.0,0.0,186.0,6047
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2.0,1.0,35.0,6433
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1760,2.0,2.0,123.0,6747
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1693,3.0,3.0,57.39,9311
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,1925,3.0,,125.0,13167
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,700,2.0,1.0,36.0,13998
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1070,2.0,1.0,45.5,4189
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,1724,3.0,2.0,125.0,6734
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,1290,2.0,2.0,56.12,7005
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1143,2.0,2.0,45.0,9390
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,1296,2.0,,81.0,8658
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,1254,3.0,2.0,38.0,5899
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,600,1.0,0.0,38.0,11734
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,660,1.0,0.0,48.0,6047
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,1330.74,2.0,2.0,91.79,13998
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,600,9.0,,200.0,5267
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,970,2.0,0.0,33.0,5528
Super built-up  Area,20-Sep,Whitefield,2 BHK,1459,2.0,1.0,94.82,10265
Plot  Area,Ready To Move,KR Puram,2 Bedroom,800,1.0,1.0,130.0,7556
