location,size,total_sqft,bath,price,bhk,price_per_sqft,bath_per_bhk,sqft_per_bhk
Electronic City Phase II,2 BHK,1056.0,2.0,31.65,2,2997.159090909091,1.0,528.0
Chikka Tirupathi,4 Bedroom,2600.0,5.0,115.65,4,4448.076923076923,1.25,650.0
Uttarahalli,3 BHK,1440.0,2.0,60.08,3,4172.222222222223,0.6666666666666666,480.0
Lingadheeranahalli,3 BHK,1521.0,3.0,105.3,3,6923.076923076923,1.0,507.0
Kothanur,2 BHK,1200.0,2.0,55.7,2,4641.666666666667,1.0,600.0
Whitefield,2 BHK,1170.0,2.0,101.18,2,8647.863247863248,1.0,585.0
Old Airport Road,4 BHK,2732.0,4.0,215.23,4,7878.111273792094,1.0,683.0
Rajaji Nagar,4 BHK,3300.0,4.0,479.36,4,14526.060606060606,1.0,825.0
Marathahalli,3 BHK,1310.0,3.0,121.4,3,9267.175572519083,1.0,436.6666666666667
Whitefield,3 BHK,1800.0,2.0,161.01,3,8945.0,0.6666666666666666,600.0
Whitefield,4 Bedroom,2785.0,5.0,275.58,4,9895.152603231598,1.25,696.25
7th Phase JP Nagar,2 BHK,1000.0,2.0,68.22,2,6822.0,1.0,500.0
Gottigere,2 BHK,1100.0,2.0,47.62,2,4329.090909090909,1.0,550.0
Sarjapur,3 Bedroom,2250.0,3.0,215.66,3,9584.888888888889,1.0,750.0
Mysore Road,2 BHK,1175.0,2.0,58.82,2,5005.95744680851,1.0,587.5
Bisuvanahalli,3 BHK,1180.0,3.0,46.27,3,3921.186440677966,1.0,393.3333333333333
Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,67.7,3,4396.103896103896,1.0,513.3333333333334
Ramakrishnappa Layout,3 BHK,2770.0,4.0,325.06,3,11735.018050541516,1.3333333333333333,923.3333333333334
Manayata Tech Park,2 BHK,1100.0,2.0,48.83,2,4439.090909090909,1.0,550.0
Kengeri,1 BHK,600.0,1.0,34.87,1,5811.666666666666,1.0,600.0
Binny Pete,3 BHK,1755.0,3.0,155.0,3,8831.908831908831,1.0,585.0
Thanisandra,4 Bedroom,2800.0,5.0,235.06,4,8395.0,1.25,700.0
Bellandur,3 BHK,1767.0,3.0,188.72,3,10680.249009620826,1.0,589.0
 Thanisandra,1 RK,510.0,1.0,24.38,1,4780.392156862745,1.0,510.0
Mangammanapalya,3 BHK,1250.0,3.0,56.95,3,4556.0,1.0,416.6666666666667
Electronic City,2 BHK,660.0,1.0,38.79,2,5877.272727272727,0.5,330.0
Whitefield,3 BHK,1610.0,3.0,151.66,3,9419.875776397515,1.0,536.6666666666666
Ramagondanahalli,2 BHK,1151.0,2.0,51.58,2,4481.320590790617,1.0,575.5
Electronic City,3 BHK,1025.0,2.0,63.51,3,6196.09756097561,0.6666666666666666,341.6666666666667
Yelahanka,4 BHK,2475.0,4.0,212.75,4,8595.959595959595,1.0,618.75
Bisuvanahalli,3 BHK,1075.0,2.0,45.59,3,4240.930232558139,0.6666666666666666,358.3333333333333
Hebbal,3 BHK,1760.0,2.0,177.34,3,10076.136363636364,0.6666666666666666,586.6666666666666
Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,72.48,3,4281.157708210278,1.0,564.3333333333334
Kasturi Nagar,3 BHK,1925.0,3.0,183.8,3,9548.051948051949,1.0,641.6666666666666
Kanakpura Road,2 BHK,700.0,2.0,35.64,2,5091.428571428572,1.0,350.0
Electronics City Phase 1,2 BHK,1070.0,2.0,52.67,2,4922.429906542056,1.0,535.0
Kundalahalli,3 BHK,1724.0,3.0,131.77,3,7643.271461716939,1.0,574.6666666666666
Chikkalasandra,3 BHK,1290.0,2.0,55.81,3,4326.356589147287,0.6666666666666666,430.0
Uttarahalli,2 BHK,1143.0,2.0,44.59,2,3901.1373578302714,1.0,571.5
Murugeshpalya,2 BHK,1296.0,2.0,65.18,2,5029.3209876543215,1.0,648.0
Sarjapur  Road,3 BHK,1254.0,3.0,75.23,3,5999.202551834131,1.0,418.0
Ganga Nagar,1 BHK,600.0,1.0,37.47,1,6245.0,1.0,600.0
Yelahanka,1 Bedroom,660.0,1.0,50.21,1,7607.575757575758,1.0,660.0
Kanakpura Road,2 BHK,1330.74,2.0,67.0,2,5034.792671746547,1.0,665.37
Doddathoguru,2 BHK,970.0,2.0,35.33,2,3642.2680412371133,1.0,485.0
Whitefield,2 BHK,1459.0,2.0,132.17,2,9058.944482522274,1.0,729.5
KR Puram,2 Bedroom,800.0,1.0,56.89,2,7111.25,0.5,400.0
Himagiri Meadows,2 BHK,869.0,2.0,113.4,2,13049.482163406214,1.0,434.5
Adarsh Nagar,2 BHK,1270.0,2.0,51.02,2,4017.3228346456694,1.0,635.0
Bhoganhalli,3 BHK,1670.0,3.0,92.75,3,5553.892215568862,1.0,556.6666666666666
Whitefield,3 BHK,2010.0,3.0,187.98,3,9352.23880597015,1.0,670.0
Lakshminarayana Pura,2 BHK,1185.0,2.0,78.27,2,6605.06329113924,1.0,592.5
