location,total_sqft,bhk,bath,bath_per_bhk,sqft_per_bhk,price
Vishwanatha Nagenahalli,2159.0,3,3.0,1.0,719.6666666666666,120.9
Yelahanka New Town,500.0,1,2.0,2.0,500.0,25.6
7th Phase JP Nagar,3600.0,4,3.0,0.75,900.0,251.89
Marathahalli,1583.0,3,3.0,1.0,527.6666666666666,150.24
Hennur Road,1065.0,2,2.0,1.0,532.5,62.93
Hoodi,1400.0,3,3.0,1.0,466.6666666666667,129.88
Kanakpura Road,1550.0,3,3.0,1.0,516.6666666666666,80.07
Old Madras Road,1720.0,3,3.0,1.0,573.3333333333334,100.79
Vijayanagar,2400.0,5,6.0,1.2,480.0,242.42
Thigalarapalya,2072.0,3,4.0,1.3333333333333333,690.6666666666666,153.12
Bhattarahalli,905.0,2,2.0,1.0,452.5,48.18
Green Glen Layout,1715.0,3,3.0,1.0,571.6666666666666,119.3
Chandapura,850.0,2,2.0,1.0,425.0,50.93
Hoskote,1395.0,3,2.0,0.6666666666666666,465.0,51.43
Hennur Road,1140.0,2,2.0,1.0,570.0,70.89
TC Palaya,1200.0,2,2.0,1.0,600.0,67.04
Kudlu,1700.0,3,3.0,1.0,566.6666666666666,78.54
Hebbal,1645.0,3,3.0,1.0,548.3333333333334,170.98
Govindpura,1578.0,3,3.0,1.0,526.0,75.96
Yelahanka,1104.0,2,2.0,1.0,552.0,85.36
Yelahanka,1120.0,2,2.0,1.0,560.0,91.62
Akshayanagara East,1595.0,3,3.0,1.0,531.6666666666666,84.89
R.T. Nagar,1560.0,3,3.0,1.0,520.0,102.62
Whitefield,1216.0,2,2.0,1.0,608.0,109.15
Yemlur,8400.0,4,5.0,1.25,2100.0,1445.05
Sarjapur  Road,1220.0,3,3.0,1.0,406.6666666666667,69.6
Banjara Layout,1050.0,2,2.0,1.0,525.0,62.1
Akshaya Nagar,1314.0,2,2.0,1.0,657.0,108.33
Murugeshpalya,1500.0,3,2.0,0.6666666666666666,500.0,75.33
Kundalahalli Colony,2600.0,3,3.0,1.0,866.6666666666666,152.57
Electronic City,880.0,2,2.0,1.0,440.0,53.33
Dodsworth Layout,5656.0,3,5.0,1.6666666666666667,1885.3333333333333,353.61
Balagere,1007.0,2,2.0,1.0,503.5,61.67
Lakshmipura,1225.0,2,2.0,1.0,612.5,74.28
2nd Phase Judicial Layout,1300.0,3,3.0,1.0,433.3333333333333,46.62
Uttarahalli,1000.0,2,2.0,1.0,500.0,40.26
Banjara Layout,1200.0,2,2.0,1.0,600.0,73.85
Bhoganhalli,1053.4,3,3.0,1.0,351.1333333333334,62.25
Electronic City,770.0,2,1.0,0.5,385.0,45.51
Chamrajpet,1050.0,2,2.0,1.0,525.0,90.96
Kudlu Gate,1535.0,3,3.0,1.0,511.6666666666667,127.87
Kathriguppe,1300.0,3,3.0,1.0,433.3333333333333,79.18
Hosa Road,1161.0,2,2.0,1.0,580.5,55.32
3rd Block Jayanagar,2150.0,3,3.0,1.0,716.6666666666666,240.09
Bommanahalli,1350.0,2,2.0,1.0,675.0,101.98
Nagashetty Halli,1350.0,2,2.0,1.0,675.0,73.98
Akshaya Nagar,1265.0,2,2.0,1.0,632.5,101.21
Ashirvad Colony,1100.0,2,2.0,1.0,550.0,54.36
Kacharakanahalli,1400.0,3,3.0,1.0,466.6666666666667,64.22
Uttarahalli,1120.0,2,2.0,1.0,560.0,47.14
Basavangudi,1230.0,2,2.0,1.0,615.0,122.53
Ashraya Layout,5100.0,6,7.0,1.1666666666666667,850.0,263.21
Basaveshwara Nagar Yelahanka,1055.0,2,2.0,1.0,527.5,53.2
Nagarbhavi,1100.0,2,2.0,1.0,550.0,89.56
Hosa Road,1538.0,3,3.0,1.0,512.6666666666666,79.15
7th Phase JP Nagar,1035.0,2,2.0,1.0,517.5,70.0
Hegde Nagar,1703.0,3,3.0,1.0,567.6666666666666,117.56
